9723,908,4568,5710,54,840,287.76,0,3712122,2.320231,9,32,105,2663904,0,16084.53,590,102,1232,1736,67110,11350,1608,12465,-20,0,3666460,901128,5065,0,1140734,10151040,766,695202,0,0,1,10,0,5,1,cJvF,4,0,2,-1
840,3108,212,265,6,88,166.56,0,15900,1.325785,27,126,343,324960,0,14406.96,0,8,24,72,10296.44,690,6,92097,32,0,543125,160770,3110,18,230930,1064396,56,202914,0,0,1,9,0,5,0,UYBR,6,0,1,-1
259,0,128,160,6,128,200,0,0,6.782952,9,18,0,795360,0,30113.1,0,4,56,72,4948.44,460,0,0,4,0,270145,280598,0,9,201691,1221824,10,70248,0,0,1,10,0,5,0,cJvF,4,0,2,-1
630,596,24,30,0,0,186.64,0,5485038,0.371502,9,100,231,2779944,0,194665.2,10,0,24,8,-64855.2,230,18,28665,-30,0,0,0,415,27,0,9885080,0,0,0,0,2,10,0,5,0,UYBR,4,3,2,-1
140,0,64,80,0,24,220.08,0,4279404,3.092074,9,16,0,0,0,124983.9,5,4,0,0,451612,460,18,0,-30,0,5866200,804074,0,9,0,9355360,14,273504,0,0,1,10,0,5,0,UYBR,4,0,2,-1
1267,88,28,35,0,16,253.52,0,4962396,5.687887,9,64,7,0,0,108650.1,0,2,0,0,544300,955,18,2673,8,0,574515,2419200,1150,18,0,11025480,2,3628800,0,0,1,10,0,5,0,cJvF,4,3,2,-1
826,1812,160,200,0,80,286.32,0,6095100,1.489425,36,130,231,42624,0,69579.59,20,10,32,8,126601.2,600,72,14265,4,0,391295,1555682,3560,54,0,10466920,16,2540664,0,0,0,4,0,5,0,UYBR,2,0,3,-1
2142,6592,188,235,4,96,260.24,0,1428156,5.49028,36,104,112,4199208,0,78102,5,2,40,56,42293.2,680,42,13293,-28,0,4984220,1337690,3180,27,1209600,10151760,38,518400,0,0,0,8,0,5,0,cJvF,6,0,1,-1
784,264,124,155,6,0,166.56,0,71874,6.247169,9,42,7,5529600,0,220258.2,0,0,32,64,74858.8,480,6,28458,18,0,9504000,0,210,18,1814400,10415920,44,0,0,0,1,10,0,5,0,UYBR,4,0,2,-1
854,3636,136,170,4,56,186.64,0,4021968,3.254005,27,150,252,919368,0,193127.7,25,4,40,24,193613.6,530,48,14859,16,0,2420760,1209600,1025,27,325948,9507280,18,552714,0,0,2,10,0,5,0,UYBR,4,1,2,-1
840,8,172,215,14,8,288.16,0,4865406,5.330058,9,32,14,3233896,0,185267.1,15,2,80,88,121721.2,670,90,378,-28,0,5076800,109924,15,9,655613,10269400,24,136170,0,0,0,10,0,5,0,UYBR,4,0,2,-1
1218,0,440,550,8,304,166.56,0,0,6.847255,9,28,0,147160,0,2666.538,0,32,112,128,-4718.44,1605,0,0,4,0,189615,100922,0,9,17899,493096,80,98970,0,0,1,5,0,5,0,cJvF,3,4,4,-1
1624,96,216,270,14,176,166.56,0,0,5.83636,9,124,0,343584,0,4147.35,0,8,136,144,-52957.2,585,0,5490,-20,0,62200,49498,1005,9,112952,363976,20,65142,0,0,1,10,0,5,1,cJvF,4,0,2,-1
672,2988,56,70,0,8,297.12,0,2372898,3.558855,27,98,105,1393512,0,225728.7,10,0,8,8,180526.8,390,18,23391,-10,0,5211350,101924,160,27,0,9484280,14,0,0,0,1,10,0,5,1,UYBR,4,3,2,-1
987,3028,232,290,6,120,166.56,5,372900,6.503525,27,94,959,1108936,6,77077.8,5,10,40,40,78482,855,12,48384,-30,24,4405240,219114,1050,27,573790,5307920,60,351558,0,0,0,10,0,5,0,UYBR,4,3,2,-1
6706,184,692,865,8,248,220.08,0,3393270,6.758171,9,50,119,2644496,0,11437.05,115,26,200,96,788940,2425,150,51021,26,0,5043950,546440,40,18,147343,10013360,138,300300,0,0,1,10,0,5,0,cJvF,4,0,2,-1
1589,2968,152,190,4,32,315.28,0,8068320,6.707541,9,126,490,1382400,0,115047.9,25,2,32,16,-38397.44,610,108,189765,-26,0,2417555,286546,11845,36,985208,10522600,16,326064,0,2,1,10,1,5,0,UYBR,4,0,2,-1
112,4036,16,20,2,0,186.64,0,0,0.584704,9,38,14,244704,0,71733,0,0,16,16,-18944.16,125,0,117234,14,0,98725,0,0,9,212170,201332,4,0,0,0,0,10,0,5,0,UYBR,4,0,2,-1
1071,24,172,215,4,80,166.56,0,3819798,2.597308,9,54,42,442424,0,113857.2,30,6,48,8,523808,720,60,56853,4,0,1102705,552524,370,18,204141,6838600,26,177912,0,0,1,10,0,5,0,UYBR,4,0,2,-1
588,2168,96,120,2,40,166.56,0,0,0.64388,9,134,140,58384,0,6564.96,0,6,8,40,7010.84,310,0,37035,48,0,132535,18298,3410,9,8617,192148,22,30498,0,0,0,9,0,5,0,cJvF,6,3,1,-1
1484,100,288,360,6,168,166.56,0,597096,0.880795,9,98,42,627016,0,8550.12,10,18,88,96,263661.2,990,126,738,20,0,290455,243360,135,9,230391,2083500,14,650106,0,0,1,10,0,5,0,cJvF,4,0,2,-1
931,188,144,180,2,8,220.08,0,9724440,1.857723,18,36,84,306536,0,137501.1,45,2,40,24,604700,540,120,5814,4,0,864000,24682,890,9,456162,10604880,4,390996,0,1,1,8,0,5,0,cJvF,6,3,1,-1
903,88,148,185,0,16,186.64,0,8647320,1.845332,18,40,56,0,0,189194.4,40,0,24,0,498276,535,114,171,14,0,2288940,120864,140,9,0,10481760,16,0,0,0,1,10,0,5,0,cJvF,4,0,2,-1
462,0,64,80,4,8,220.08,0,1640934,4.967528,9,28,0,319672,0,148654.5,10,2,40,32,258728.4,310,24,0,4,0,642255,2348,0,9,87661,2470236,8,10116,0,0,0,10,0,5,0,UYBR,4,3,2,-1
224,0,136,170,4,24,283.6,0,4276908,0.698142,9,18,0,1900848,0,201932.7,15,6,32,24,102586.8,535,54,0,-6,0,4840190,475212,0,0,1108828,10525120,26,1425636,0,0,1,10,0,5,1,UYBR,4,0,2,-1
1197,3404,48,60,2,16,331.04,0,891666,0.132237,45,144,56,1267272,0,71967.59,10,0,16,16,64333.2,400,12,513,-22,0,4382795,550320,210,18,554428,10673360,8,0,0,0,1,5,0,5,1,cJvF,3,0,4,-1
1295,36,220,275,4,128,166.56,0,33714,0.78872,9,48,42,54144,0,32423.7,25,10,32,8,-67012.8,845,6,67365,24,0,2536955,426568,1205,0,257040,3487952,54,751860,0,0,0,10,0,5,0,UYBR,4,0,2,-1
609,0,152,190,2,64,266.24,0,2613858,1.02179,9,28,0,2719016,0,208465.2,30,2,48,40,125143.2,575,48,0,-26,0,3401530,1277256,0,18,60676,10365040,20,108900,0,0,1,10,0,5,0,UYBR,4,0,2,-1
861,104,128,160,0,0,186.64,0,3628800,3.730613,9,38,0,4147200,0,146104.5,15,2,32,48,425264,485,42,1224,14,0,6480000,0,5,9,0,10671760,30,173340,0,0,1,10,0,5,0,cJvF,4,0,2,-1
959,388,112,140,2,40,166.56,0,1566,3.748558,9,40,63,734288,0,25365.48,0,12,32,24,-62958,465,6,30978,16,0,1345805,158950,1355,0,326032,2361508,26,898164,0,0,1,5,0,5,0,cJvF,3,4,4,-1
1715,9936,52,65,0,24,275.76,0,1711362,5.373211,27,160,3479,0,0,82489.2,10,6,0,0,220096,420,12,28305,6,0,1699735,592848,1295,36,0,9470680,6,6148740,0,0,1,4,0,5,0,UYBR,4,0,3,-1
77,0,36,45,0,16,186.64,0,17856,3.139287,9,16,0,0,0,453246,5,0,0,0,1364372,150,12,0,4,0,5880100,1397944,0,9,0,9578840,8,0,0,0,1,5,0,5,0,cJvF,3,0,0,-1
875,784,216,270,4,88,253.52,0,4300764,0.291391,18,108,28,622480,0,90442.2,10,8,48,40,170977.6,720,78,1197,4,0,2275325,1574616,335,27,657272,10181240,38,2013198,0,0,0,10,0,5,0,cJvF,4,0,2,-1
1064,1828,192,240,2,0,66.88,0,0,2.572954,9,54,0,175744,0,5584.86,10,0,40,64,-55325.2,880,0,104670,-16,0,334800,0,5,0,21833,368480,76,0,0,0,1,10,0,3,0,cJvF,4,0,2,-1
133,0,128,160,0,24,220.08,0,6739200,0.650288,18,16,0,1382400,0,230167.2,30,0,32,16,92032,345,78,0,4,0,2625710,439786,0,0,0,10237760,16,0,0,0,1,5,0,5,0,UYBR,3,4,0,-1
1106,0,572,715,20,248,166.56,0,3308718,3.033753,9,16,0,1290192,0,20852.25,20,28,176,272,-579840,2195,36,0,-8,0,1899825,848946,0,0,80500,6647240,108,204714,0,0,0,10,0,5,1,cJvF,4,0,2,-1
5768,2524,1140,1425,36,832,200,0,10620,2.775689,18,80,392,921808,0,7180.62,35,92,336,336,-134663.6,3765,30,6489,32,0,715405,382624,640,0,208096,2196396,162,534348,0,0,1,10,0,5,0,cJvF,4,0,2,-1
1330,1168,312,390,6,104,166.56,0,0,2.992523,18,76,7,135056,0,5946.96,5,4,48,120,-108605.2,1135,0,28224,28,0,484750,64388,280,0,162876,691960,94,139080,0,0,0,3,0,5,0,UYBR,6,0,1,-1
1169,240,132,165,0,16,186.64,0,5463960,5.667165,9,42,0,3456008,0,114368.7,10,0,32,40,357194.8,500,72,11943,4,0,4728050,226892,135,27,0,10298080,24,0,0,0,0,7,0,5,1,UYBR,0,0,0,-1
